UnityPoint Health-Allen Hospital,136,160110,Waterloo,Iowa,Nonprofit and/or government,UnityPoint Health,101-250,,,Midwest,Yes,,,No,Yes,Yes,"FinancialAssistancePolicyEnglish.pdf
(unitypoint.org)","Some, but not all","BillingCollectionPolicyEnglish.pdf
(unitypoint.org)",200% FPL,Blue,201%-600% FPL,Blue,Yes per the Financial Assistance Policy,No,Black,"No; not mentioned in the policies, and geographic restriction is not a practice of the hospital, according to Carson Tigges",Yes*,Purple,"Yes, according to the Billing and Collections policy",Yes*,Purple,"Yes, according to the Billing and Collections policy","Yes, according to the Billing and Collections policy",Yes,Blue,Yes*,Purple,*According to spokesperson Carson Tigges,,"*No, the size of the bill is not considered in determining qualification under the financial assistance policy
**No, there is no geographic limitations placed on patients for qualification under the financial assistance policy.  
*** ECAs found under definitions (asking Tigges in f/u)",UnityPoint Health - Allen Hospital,,82425
Grundy County Memorial Hospital,137,161303,Grundy Center,Iowa,Nonprofit and/or government,UnityPoint Health,25 or fewer,,,Midwest,Yes,,,No,Yes,Yes,"FinancialAssistancePolicyEnglish.pdf
(unitypoint.org)",,"BillingCollectionPolicyEnglish.pdf
(unitypoint.org)",125% FPL*,Purple,126%-300% FPL*,Purple,Yes per the Financial Assistance Policy,No,Black,"No; not mentioned in the policies, and geographic restriction is not a practice of the hospital, according to Carson Tigges",Yes*,Purple,"Yes, according to the Billing and Collections policy",Yes*,Purple,"Yes, according to the Billing and Collections policy","Yes, according to the Billing and Collections policy",Yes,,Yes*,Purple,*According to spokesperson Carson Tigges,All responses for Grundy (columns R through Z) use UnityPoint Health policies,"webpage: Financial Assistance | UnityPoint - Grundy County

No reference for Payment Policy found

8/26/22 from Carson Tigges:
""My primary resources for these inquiries are financial controllers at the designated facilities, and the information I relayed to you came from them. I think it’s fair to say that these individuals know the practices best and their direction is what is practiced at the specified institutions.

Furthermore, Grundy County Memorial Hospital will default to UnityPoint Health / Allen Hospital policies when needed.""
",UnityPoint Health | Grundy County Memorial Hospital,,33195
Story County Medical Center,138,161333,Nevada,Iowa,Nonprofit and/or government,,25 or fewer,,,Midwest,Yes,,,No,Yes,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,https://www.storymedical.org,,55695
Van Diest Medical Center,139,161361,Webster City,Iowa,Nonprofit and/or government,,25 or fewer,,,Midwest,Yes,,,No,yes,Yes,https://www.vandiestmc.org/media/cms/2021_Financial_Assistance_Applicati_4AD403ED71F52.pdf,No,,125% FPL,Blue,126%-225% FPL ,Blue,Yes according to policy ; (Outpatient and clinic visits excluded) according to Ashley Allers,Bills exceeding 20% of income,Blue,"No, not in policy and not a practice of the hospital according to Ashley Allers",Yes*,Purple,"Yes, not mentioned in policy, but this is a practice of the hospital according to Ashley Allers",No*,Purple,"Yes, not mentioned in policy, but this is a practice of the hospital according to Ashley Allers","No, not mentioned in policy but this is not a practice of the hospital according to Ashley Allers",Yes*,Purple,Yes*,Purple,"*According to Ashley Allers, chief financial officer","-some financial assistance information on page 3+ of Financial Assistance application which is available on the website: https://www.vandiestmc.org/media/cms/2021_Financial_Assistance_Applicati_4AD403ED71F52.pdf 

-B&C not avail online, but provided by POC - https://www.vandiestmc.org/media/cms/2021_Financial_Assistance_Applicati_4AD403ED71F52.pdf","There is a written FAP - the Financial Assistance Information is a summary of the FAP per Ashley Alliers
","Webster City, Iowa | Van Diest Medical Center (vandiestmc.org)",,83145
Pratt Regional Medical Center,140,170027,Pratt,Kan.,Nonprofit and/or government,,51-100,,,Midwest,No,,,Yes,No,Yes,https://www.prmc.org/resources/financial-assistance.html,No,,200% FPL,Blue,201%-300% FPL,Blue,Yes,"Yes, but no standards specified",Blue,None mentioned,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear* ,Red,*No available policy and hospital did not provide data requested by KHN,No policies posted - must call for information beyond FA application,New Director of Marketing is putting aportal in starting June 22 with policies etc. Would be willing to talk to a reporter; she says their hospital is way behind the times,Pratt Regional Medical Center - Pratt Regional Medical Center (prmc.org),,57625
Kansas Heart Hospital,141,170186,Wichita,Kan.,For-profit,,51-100,,,Midwest,No,,,No,No search function,No,,No,,250% FPL*,Purple,251%-399%*,Purple,"Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen",No,Black,"No, no avail policy, but not a practice of the hospital per Cassie Dolen",No*,Purple,"Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen",No*,Purple,"Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen","Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen",Yes*,Purple,Yes*,Purple,"*According to Cassie Dolen, chief financial officer",No policy found on website,"Received responses from CFO Cassie Dolen (via P Chambers, COO) on 7/18. Reports ther ""is a policy on the website"", and reports all responses as noted.","Welcome to the Kansas Heart Hospital | Wichita, KS",,79000
Wichita County Health Center,142,171306,Leoti,Kan.,Nonprofit and/or government,,25 or fewer,,,Midwest,No,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,No search function on hospital or System website -No policies posted - no mention of Financial Assistance or Billing practices,,Wichita County Health Center,,39550
Edwards County Medical Center,143,171317,Kinsley,Kan.,Nonprofit and/or government,,25 or fewer,,,Midwest,No,,,Yes,No search function,Yes,Financial assistance.pdf (edcomed.com),No,,100% FPL,Blue,101%-149% FPL*,Purple,"Yes, not mentioned in the policies, but included on the Financial Assistance application, and this is a practice of the hospital per Rebecca Venters","Yes, but no standards specified*",Purple,"Yes, only Edwards County residents are eligible for financial assistance; not mentioned in the policies, but this is a practice of the hospital per Rebecca Venters",Yes*,Purple,"Yes, not mentioned in the policies but this is a practice of the hospital per Rebecca Venters",No*,Purple,"Yes, not mentioned in the policies but this is a practice of the hospital per Rebecca Venters","Yes, not mentioned in the policies but this is a practice of the hospital per Rebecca Venters",Yes*,Purple,No*,Purple,"*According to Rebecca Venters, business manager",No search function,,Home (edcomed.com),,37075
Clara Barton Medical Center,144,171333,Hoisington,Kan.,Nonprofit and/or government,,25 or fewer,,,Midwest,No,,,Yes,Yes,Yes,Purpose (clarabartonhospital.com),"Some, but not all",Billing-and-Collections-Policy.pdf (clarabartonhospital.com),150% FPL,Blue,150%-300% FPL,Blue,"Yes, per the Financial Assistance Policy",Bills exceeding 35% of income,Blue,None mentioned,Yes,Blue,"Yes, per the Billing and Collections policy",Unclear*,Red,Yes,Unclear; not mentioned in the policies or on the website,Yes,Blue,Unclear*,Red,*Not mentioned in policy and hospital did not provide data requested by KHN,,,"Clara Barton Hospital and Clinics | Hoisington, KS | United States",,32550
Patterson Health Center,145,171346,Anthony,Kan.,Nonprofit and/or government,,25 or fewer,,,Midwest,No,,,Yes,No search function,Yes,http://pattersonhc.org/sites/default/files/summary_of_uncompensated_care_policy.pdf,"Some, but not all",http://pattersonhc.org/sites/default/files/summary_of_uncompensated_care_policy.pdf,125% FPL,Blue,126%-200% FPL,Blue,No; not mentioned in the policies but not a practice of the hospital per Lori Allen,No,Black,No; not mentioned in the policies but not a practice of the hospital per Lori Allen,Yes,Blue,"Yes, per the Payment Plan Alternatives and Collections policy",No*,Purple,"Yes; not mentioned in policy, but is a practice of collection agencies","Yes; not mentioned in policy, but is a practice of collection agencies",Yes,Blue,No*,Purple,"*According to Lori Allen, chief operating officer",No search function on this website,,Patterson Health Center (pattersonhc.org),,01975
Lincoln County Hospital,146,171360,Lincoln,Kan.,Nonprofit and/or government,,25 or fewer,,,Midwest,No,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,No search function or any info about Financial or Billing assistance,,Lincoln County Hospital,,41325
Minneola District Hospital,147,171368,Minneola,Kan.,Nonprofit and/or government,,25 or fewer,,,Midwest,No,,,No,Yes,No,,No,,110% FPL*,Purple,110%-200% FPL*,,"Yes, according to Kayla LaBelle","Yes, but no standards specified*",Purple,"No, according to Kayla LaBelle",Yes*,Purple,"Yes, according to Kayla LaBelle",No*,Purple,"Yes, according to Kayla LaBelle","Yes, according to Kayla LaBelle",Yes*,Purple,Unclear**,Red,"*According to Kayla LaBelle, marketing and payroll manager
**No available policy and hospital did not provide data requested by KHN",,,MINNEOLA DISTRICT HOSPITAL - Minneola Healthcare,,47150
CHI Saint Joseph Health-Saint Joseph Hospital,148,180010,Lexington,Ky.,Nonprofit and/or government,CommonSpirit Health,More than 250,,,South ,Yes,,,No,yes,Yes,https://www.chisaintjosephhealth.org/saint-joseph-hospital/patients-guests/financial-assistance,"Some, but not all",https://www.chisaintjosephhealth.org/saint-joseph-hospital/patients-guests/financial-assistance,200% FPL,Blue,201%-400%,Blue,"Yes, according to Dan Loeterman",No,Black,None mentioned,Yes,Blue,Yes,Yes*,Blue,"No; Not mentioned in policy, but is not a practice of the hospital, according to Dan Loeterman","No; Not mentioned in policy, but is not a practice of the hospital, according to Dan Loeterman",No**,Purple,No**,Purple,"*Allowed, but not current practice, according to spokesperson Dan Loeterman
**According to Loeterman",,,CHI Saint Joseph Health,,46027
St. Claire HealthCare,149,180018,Morehead,Ky.,Nonprofit and/or government,,101-250,,,South ,Yes,,,No,Yes,Yes,https://www.st-claire.org/patients-visitors/billing-information/,"Some, but not all",https://www.st-claire.org/documents/content/031516-Billing-and-Collections.pdf,Not specified,Black,200% FPL,Blue,"Yes, per application",Bills exceeding patients' income,Blue,Yes,Yes,Blue,Yes,Yes,Blue,Yes,Yes,Yes,Blue,No*,Purple,*According to spokesperson Amy Riddle,,,"St. Claire Regional Medical Center | Hospital in Morehead, KY (st-claire.org)",,53418
Middlesboro ARH Hospital,150,180020,Middlesboro,Ky.,Nonprofit and/or government,Appalachian Regional Healthcare,26-50,,,South ,Yes,,,Yes,No search function,Yes,FinancialAssistancePolicy.pdf (arh.org),"Some, but not all",FinancialAssistancePolicy.pdf (arh.org),100% FPL*,Blue,N/A,Black,Yes,No,Black,None mentioned,Yes,Blue,Yes per the Financial Assistance policy,Unclear**,Red,Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,Yes,Blue,Yes,Blue,"*Uninsured patients only
**Not mentioned in policy and hospital did not provide data requested by KHN",,,Appalachian Regional Healthcare | Middlesboro ARH Hospital,,51924
Spring View Hospital,151,180024,Lebanon,Ky.,For-profit,Lifepoint Health,51-100,,,South ,Yes,,,No,No,No,,No,,N/A,Black,N/A,Black,"No, no public policy, but not a practice of the hospital, according to Michelle Augusty",No,Black,"No, no public policy, but not a practice of the hospital, according to Michelle Augusty",No*,Purple,"Yes, no public policy, but is a practice of the hospital, according to Michelle Augusty",Yes*,Purple,"No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty",No*,Purple,No*,Purple,*According to spokesperson Michelle Augusty,,"This facility offers financial counseling services to all patients by extending a phone number to the office online but does not have a financial assistance policy given the availability of Medicaid for patients in Kentucky, according to Michelle Augusty.",http://www.springviewhospital.com/,,44344
Baptist Health Louisville,152,180130,Louisville,Ky.,Nonprofit and/or government,Baptist Health,More than 250,,,South ,Yes,,,No,Yes,Yes,"Financial Assistance, Billing, and Collections (baptisthealth.com)","Some, but not all","Financial Assistance, Billing, and Collections (baptisthealth.com)",300% FPL,Blue,301%-1200% FPL,Blue,"Yes, not mentioned in the policies and this is a practice of the hospital per Kit Fullenlove Barry","Yes, but no standards specified*",Purple,"No, not mentioned in the policy and not a practice of the hospital per Kit Fullenlove Barry",Yes,Blue,Yes per the Financial Assistance policy,No,Blue,Yes per the Financial Assistance policy,"Yes per the Financial Assistance policy, wage garnishments may be used, liens are only placed on estates per Kit Fullenlove Barry",Yes,Blue,No*,Purple,*According to spokesperson Kit Fullenlove Barry,,,http://www.baptisthealthlouisville.com/,,48006
Ephraim McDowell James B. Haggin Hospital,153,181302,Harrodsburg,Ky.,Nonprofit and/or government,Ephraim McDowell Health,25 or fewer,,,South ,Yes,,,Yes,Yes,Yes,Financial-Assistance-Program-Policy-Approved-05-26-20.pdf (emhealth.org),"Some, but not all",Billing-and-Collections-Policy-Approved-03-21-19.pdf (emhealth.org),125% FPL,Blue,126%-300% FPL,Blue,"Yes, per the Financial Assistance policy",No,Black,"No; not mentioned in the policies, and this is not a hospital practice per Jeremy Cocanaugher",Yes,Blue,"Yes, per the Billings and Collections policy",No*,Purple,"Yes, per the Billings and Collections policy","Yes, per the Billings and Collections policy",Yes,Blue,No*,Purple,*According to spokesperson Jeremy Cocanougher,,* exception ,http://www.hagginhosp.org/,,34966
"Caldwell Medical Center
",154,181322,Princeton,Ky.,Nonprofit and/or government,,25 or fewer,,,South ,Yes,,,No,Yes,Yes,Financial-Assistance-Policy.pdf (caldwellmedical.com),Yes,Billing-and-Collections.pdf (caldwellmedical.com),100% FPL,Blue,100%-200% FPL,Blue,Yes per FA app,No,Black,Yes per FAP,Yes,Blue,Yes,Yes,Blue,Yes,Yes,Yes,Blue,Yes,Blue,,"-B&C policy says hospital won't accept CareCredit
-""Payments for all charges, which are not covered by insurance, shall be due and payable at the
time of services or discharge.""
",,Home - Caldwell Medical Center,,63138
Terrebonne General Health System,155,190008,Houma,La.,Nonprofit and/or government,,101-250,,,South ,Yes,,,No,Yes,Yes,Financial_Assistance_Program_English-2022.pdf (tghealthsystem.com),"Some, but not all",https://www.tghealthsystem.com/patients-visitors/patient-financial-center/financial-assistance/,150% FPL,Blue,151%-300% FPL,Blue,"Yes, per the Financial Assistance Policy","Yes, but no standards specified",Blue,"Yes; to be eligible for financial assistance, the patient must be a resident of the state of Louisianna per the Financial Assistance policy",Yes,Blue,"Yes, per the Billing and Collections policy",No*,Purple,"Yes, per the Billing and Collections policy","Yes, garnishment of wages per the Billing and Collections policy

There is no mention of placing liens",Yes,Blue,No*,Purple,"*According to Dean Verret, patient financial services director",,,http://www.tgmc.com/,,36255
Opelousas General Health System,156,190017,Opelousas,La.,Nonprofit and/or government,,101-250,,,South ,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear* ,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,"Notable as a large hospital (and system) that has no informaiton at all on financial assistance, even though link to pay abill is prominent on the web page",,Opelousas General Health System | Home,,58045
Lake Charles Memorial Hospital,157,190060,Lake Charles,La.,Nonprofit and/or government,,More than 250,,,South ,Yes,,,No,yes,No,,No,,200% FPL*,Purple,201%-500% FPL*,Purple,"Yes, according to website",No,Black,Not mentioned  ,Unclear**,Red,Unclear; no available policy,Unclear**,Red,Unclear; no available policy,Unclear; no available policy,Unclear**,Red,Unclear**,Red,"*According to hospital website
**No available policy and hospital did not provide data requested by KHN","has a link to FAP, but the link is broken",,Lake Charles Memorial Hospital | Lake Charles Memorial (lcmh.com),,41155
St. Francis Medical Center,158,190125,Monroe,La.,Nonprofit and/or government,Franciscan Missionaries of Our Lady Health System  ,More than 250,,,South ,Yes,,,No,yes,Yes,https://fmolhs.org/assets/documents/financial-assistance/feb-2022/stfrancis_financialassistance_feb2022.pdf,"Some, but not all",https://fmolhs.org/assets/documents/financial-assistance/feb-2022/stfrancis_financialassistance_feb2022.pdf,275% FPL,Blue,N/A,Black,Yes per the Financial Assistance policy,Bills exceeding 20% of income,Blue,"No, this is not a practice of the hospital per the Billing and Collection policy",Yes,Blue,Yes per the Financial Assistance policy,No,Blue,Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,Yes,Blue,No*,Purple,*According to spokesperson Saundra Nalley,,,http://www.stfran.com/,,80955
East Jefferson General Hospital,159,190146,Metairie,La.,Nonprofit and/or government,LCMC Health          ,More than 250,,,South ,Yes,,,No,Yes,Yes,Financial Assistance Policy (lcmchealth.org),"Some, but not all",Financial Assistance Policy (lcmchealth.org),250% FPL,Blue,251%-400%,Blue,"Yes, per Financial Assistance policy",Bills exceeding 20% of income,Blue,No; not mentioned in the FAP but geographic restriction is not a practice of the hospital per LaDana Williams,No*,Purple,"Yes, per FInancial Assistance/B & C policy",Yes**,Blue,"Yes, allowed the policy (but not currently a practice of the hospital per LaDana Williams)","Yes, allowed the policy (but not currently a practice of the hospital per LaDana Williams)",Yes**,Blue,No*,Purple,"*According to spokesperson LaDana Williams
**Allowed, but not current practice, according to Williams",Phone #s only for Financial and Billing assistance                                           No informatin on system site re: this facility ,"Williams 10/7 - ""While the written policy may allow for certain options, our practice is not to take full advantage of the recourses allowed in our policy, and the facts support that we have not taken full advantage of the recourses allowed in our policy.""",Home - East Jefferson General Hospital (ejgh.org),,50115
Tulane Medical Center,160,190176,New Orleans,La.,For-profit,HCA Healthcare                   ,More than 250,,,South ,Yes,,,No,No,No,,No,,200% FPL *,Purple,201%-400% FPL*,Purple,"No, according to HCA spokesman Harlow Sumerford",Liability capped at 4% of income**,Purple,"No, according to HCA spokesman Harlow Sumerford",No**,Purple,"Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford",No**,Purple,"No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary",No**,Purple,No**,Purple,"*According to online summary
**According to spokesperson Harlow Sumerford",No information on Hospital site or HCA site,,http://www.tuhc.com/,,55000
Ochsner Medical Center-North Shore,161,190204,Slidell,La.,Nonprofit and/or government,Ochsner Health,101-250,,,South ,Yes,,Yes,No,Yes,Yes,Microsoft Word - OLHS.REV.01 Financial Assistance 2022 Revisions (ochsnerlsuhs.org),Yes,Microsoft Word - OLHS.REV.02 Patient Billing and Collections Process FINAL (ochsnerlsuhs.org),250% FPL,Blue,N/A,Black,No,No,Black,"Yes, Louisiana or Mississippi per the Financial Assistance Policy",No,Blue,"Yes, per the Billing and Collections Policy (no ECA's)",No,Blue,No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,No,Blue,No,Blue,,,,https://www.ochsner.org/locations/ochsner-medical-center-north-shore/,,70805
Sabine Medical Center,162,190218,Many,La.,For-profit,,25 or fewer,,,South ,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,"No phone #s for Financial assistance, no search function  no help going to Allegiance website",,http://www.sabinemedicalcenter.net/,,48470
Physicians Medical Center,163,190241,Houma,La.,For-profit,,26-50,,,South ,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,Ambulatory Surgery enter - affiliated with Surgery Partners,admin staff resistant to sharing name of contact,http://physicianshouma.com/,,36255
Our Lady of the Lake Surgical Hospital,164,190270,Slidell,La.,For-profit,,25 or fewer,,,South ,Yes,,,No,No search function,Yes,https://ololsh.com/for-patients/,"Some, but not all",https://ololsh.com/for-patients/,250% FPL,Blue,Above 250% on case-by-case basis,Blue,"Yes, per the Financial Assistance policy",Considered case by case if bills exceed 20% of income,Blue,none mentioned,Yes,Blue,"Yes, per the Financial Assistance Policy",Unclear*,Red,"Yes, per the Financial Assistance Policy","Yes, per the Financial Assistance Policy",Yes,Blue,Unclear*,Red,*Not mentioned in policy and hospital did not provide data requested by KHN,email redirects to olosh.com  Our Lady of the Lake Surgical Hospital  ASC with inpatient capability,,http://www.sshla.com/,,70805
Ochsner LSU Health Shreveport-St. Mary Medical Center,165,190317,Shreveport,La.,Nonprofit and/or government,Ochsner Health,101-250,,,South ,Yes,,,Yes,Yes,Yes,Microsoft Word - OLHS.REV.01 Financial Assistance 2022 Revisions (ochsnerlsuhs.org),Yes,Microsoft Word - OLHS.REV.02 Patient Billing and Collections Process FINAL (ochsnerlsuhs.org),250% FPL,Blue,N/A,Black,No,No,Black,"Yes, Louisiana or Mississippi per the Financial Assistance Policy",No,Blue,"Yes, per the Billing and Collections Policy (no ECA's)",No,Blue,No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,No,Blue,No,Blue,,,,St. Mary Medical Center | Ochsner LSU Health (ochsnerlsuhs.org),,70000
St. Helena Parish Hospital & Nursing Home,166,191300,Greensburg,La.,Nonprofit and/or government,,25 or fewer,,,South ,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,Home (sthelenaparishhospital.org),,31565
Prevost Memorial Hospital,167,191308,Donaldsonville,La.,Nonprofit and/or government,,25 or fewer,,,South ,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,Critical Access   No search function    no Financial/Billing suport info,,http://www.prevosthospital.net/,,21240
MaineGeneral Medical Center,168,200039,Augusta,Maine,Nonprofit and/or government,MaineGeneral Health,101-250,,,Northeast,Yes,,,No,Yes,Yes,RI-27 Financial Assistance Policy (mainegeneral.org),No,,150% FPL,Blue,151%-225% FPL,Blue,"Yes, per the Financial Assistance Policy",No,Black,"Yes, restricted to Maine residents per the Financial Assistance Policy",Yes,Blue,Yes,No*,Purple,"No, not mentioned in the Financial Resolution Policy and this is not a practice of the hospital per Joy McKenna","No, not mentioned in the Financial Resolution Policy and this is not a practice of the hospital per Joy McKenna",No*,Purple,No,Blue,*According to spokesperson Joy McKenna,B&C sent to us;  available here - https://drive.google.com/file/d/1vi_XuKkuQu0plqQ_E5e6dN3YIQSWNrWh/view?usp=sharing,,http://www.mainegeneral.org/,,02100
Northern Light Blue Hill Hospital,169,201300,Blue Hill,Maine,Nonprofit and/or government,Northern Light Health,25 or fewer,,,Northeast,Yes,,,No,Yes,Yes,Microsoft Word - FAP16-002-English-2021 v2 (northernlighthealth.org),"Some, but not all",Microsoft Word - FAP16-002-English-2021 v2 (northernlighthealth.org),150% FPL,Blue,150%-250% FPL,Blue,No,No,Black,"Yes, restricted to Maine residents ;per the FAP",Yes,Blue,Yes per the FAP,Yes*,Blue,"Yes per the FAP, but not a practice, according to Kelley Columber","Yes per the FAP, but not a practice, according to Kelley Columber",Yes*,Blue,No**,Purple,"*Allowed, but not current practice, according to spokesperson Kelley Columber
**According to Columber",Critical Access facility   No Financial/Billing info available with search,,Home page for Northern Light Health - Northern Light Health,,05665
Penobscot Valley Hospital,170,201303,Lincoln,Maine,Nonprofit and/or government,,25 or fewer,,,Northeast,Yes,,,No,Yes,Yes,https://pvhme.org/patient-resources/billing-help/,No,,150% FPL,Blue,151%-225% FPL,Blue,Not mentioned,"Yes, but no standards specified",Blue,"Yes, must be a resident of the state of Maine per the Charity Care Policy",Unclear*,Red,Unclear; no avaliable policy,Unclear*,Red,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,http://www.pvhme.org/,,39440
Bridgton Hospital,171,201310,Bridgton,Maine,Nonprofit and/or government,Central Maine Healthcare        ,25 or fewer,,,Northeast,Yes,,,No,Yes,Yes,Financial-Assistance-Policy-APPROVED-VERSON.pdf (cmhc.org),"Some, but not all",Financial-Assistance-Policy-APPROVED-VERSON.pdf (cmhc.org),200% FPL,Blue,N/A,Black,No; not mentioned in the FAP but not a practice of the hospital per 'MaineCare guidelines' and Ann Kim,No,Black,Yes; must be a Maine resident for FA or can qualify as a non-Maine resident for emergency care per the FAP,Yes,Blue,"Yes, per the Financial Assistance policy ",No*,Purple,No; not mentioned in the FAP but not a practice of the hospital per Ann Kim,No; not mentioned in the FAP but not a practice of the hospital per Ann Kim,No*,Purple,No*,Purple,*According to spokesperson Ann Kim,"*""No partial eligibility for discounted care"" per Ann Kim

Maine Care - Fed/State Medicaid

Ann Kim left hospital system, but is still the named source for now (NL 9/2/22)
",allowed by policy but not a practice of the hospital per A Kim,http://www.bridgtonhospital.org/,,07135
UPMC Western Maryland ,172,210027,Cumberland,Md.,Nonprofit and/or government,UPMC,101-250,,,Northeast,Yes,,,Yes,Yes,Yes,Financial-Assistance.pdf (wmhs.com),"Some, but not all",Credit-Collection-Policy-400-08.pdf (wmhs.com),200% FPL,Blue,201%-400% FPL,Blue,"Yes, in some circumstances",Patients with income below 500% of FPL and bills exceeding 25% of income,Blue,None mentioned,No*,Purple,yes according to credit collection policy,Yes**,Blue,"No, not mentioned in policy, but not a practice, according to Paul Wood","No, not mentioned in policy, but not a practice, according to Paul Wood",No*,Purple,No*,Purple,"*According to spokesperson Paul Wood
**Allowed, but not current practice, according to Paul Wood",POLICY WILL LIKLEY CHANGE IN THE FALL TO SYNC WITH OTHER UPMC HOSPITALS,,http://www.wmhs.com/,,21325
CalvertHealth Medical Center,173,210039,Prince Frederick,Md.,Nonprofit and/or government,,51-100,,,Northeast,Yes,,,Yes,Yes,Yes,CALVERT MEMORIAL HOSPITAL (calverthealthmedicine.org),No,,200% FPL,Blue,201%-300% FPL,Blue,Yes per the Financial Assistance Policy,No,Black,No,No*,Purple,"Yes; no available policy, but is a practiice, according to Carolyn Heithaus ",No*,Purple,"No; no available policy, but not a practiice, according to Carolyn Heithaus ","No; no available policy, but not a practiice, according to Carolyn Heithaus ",No*,Purple,No*,Purple,"*According to Carolyn Heithaus, chief financial officer",,"Theresa Johnson, VP PR requests: 'according to financial leadership at the medical center.’ for attribution",http://www.calverthealthmedicine.org/,,63950
Howard County General Hospital,174,210048,Columbia,Md.,Nonprofit and/or government,The Johns Hopkins Health System       ,101-250,,Yes,Northeast,Yes,,,Yes - prominently displayed,Yes,Yes,https://www.hopkinsmedicine.org/patient_care/patients-visitors/billing-insurance/_docs/pfs035-2020/PFS035.pdf,No,,200% FPL,Blue,200%-400% FPL,Blue,"Yes - liquid assets less than $10,000",Patients with income below 500% of FPL and bills exceeding 25% of income,Blue,No,No,Blue,Yes,No,Blue,"No, according to FAP","No, according to FAP",No,Blue,No*,Purple,*According to spokesperson Liz Vandendriessche,"Collections Policy:
https://drive.google.com/file/d/1VRw2v_HTTUYzHla3Ip0-eQKf9uyjuhHp/view?usp=sharing

JHMedia@jhmi.edu
410-955-6680
Kim Hoppe
khoppe1@jhmi.edu",,http://www.hcgh.org/,,19125
